N°;text_fr;intent;text_wo;trans.
1;consulter le solde de mon compte;BALANCE;Seet sama tolluwaayu kont.;[seːt sama tolːuwaːyu kont]
2;je souhaiterais connaitre mes comptes merci beaucoup;BALANCE;Dama bëggoona xam fi sama kont tollu. Jarajëf.;[dama bëgːoːna xam fi sama kont tolːu. jaraɟëf]
3;Bonjour je vous appelle pour savoir quel était le montant du solde sur mon compte courant;BALANCE;Salaammalekum. Dama woote ngir xam ñaata moo des ci samay kont.;[salamːalekum. dama woːte ngir xam ñaːta moː des ci samay kont]
4;je veux savoir le solde de mon compte;BALANCE;Dama bëgga xam sama tolluwaayu kont.;[dama bëgːa xam sama tolːuwaːyu kont]
5;J'aimerais avoir plus d'informations sur le solde de mon compte en banque;BALANCE;Bëggoon naa am xibaar yu gêna yaatu ci tolluwaayu sama kontu bànk.;[bëgːoːn naː am xibaːr yu gëna yaːtu ci tolːuwaːyu sama kont bànk]
6;je veux connaitre le solde de mon compte;BALANCE;Bëgg naa xam tolluwaayu sama kont.;[bëgː naː xam tolːwaːyu sama kont]
7;Bonjour je vous appelle pour vous demander quel est le solde actuel de mon compte bancaire s'il vous plaît;BALANCE;Ngéen baal ma, dama woote ngir laaj ñaata moo nekk ci sma kont fi ñu tollu.;[ngeːn baːl ma, dama woːte ngir laːj ñaːta moː nekː ci sama kont fi ñu tolːu]
8;oui bonjour j'aurais besoin d'un petit renseignement est-ce que vous pouvez m'indiquer le solde de mon compte;BALANCE;Waaw, salaamaaleekum. Ab tektal bu ndaw laa soxlawoon. Ndax mën ngéen maa wax fi sama kont tollu ?;[waːw, salaːmaːleːkum. ab tektal bu ndaw laː soxlawoːn. ndax mën ngeːn maː wax fi sama kont tolːu ?]
9;quel est le solde de mon compte;BALANCE;Sama kont nu mu tollu ?;[sama kont nu mu tolːu ?]
10;Bonjour je voudrais savoir quel est mon solde sur mon compte courant;BALANCE;Salaamaalekum, dama bëggoona xam sama tolluwaayu kont  ;[salaːmaːlekum, dama bëgːoːna xam sama tolːwaːyu kont]
11;quel est le solde de mon compte courant;BALANCE;Sama kont nu mu tollu ?;[sama kont nu mu tolːu]
12;je souhaiterais voir le solde de mon compte;BALANCE;Dama bëgoona gis tolluwaayu sama kont.;[dama bëgːoːna gis tolːuwaːyu sama kont]
13;je veux connaitre le solde de mon compte;BALANCE;Dama bëgga xam tolluwaayu sama kont;[dama bëgːa xam tolːuwaːyu sama kont]
14;appelle pour avoir des renseignements par rapport au solde de mon compte de mon compte courant;BALANCE;Wooteel ngir am ay tektal yu jëm ci tolluwaayu sa kont.;[woːteːl ngir am ay tektal yu jëm ci tolːuwaːyu sa kont]
15;expliquez-moi s'il vous plaît le solde de mon compte;BALANCE;Ngéen baal ma te leeralal ma sama tolluwaayu kont.;[ngeːn baːl ma te leːralal ma sama tolːuwaːyu kont]
16;oui allo bonjour j'aimerais connaitre le solde de mon compte courant s'il vous plait merci;BALANCE;Waaw, aloo! Dama bëggoona xam sama tolluwaayu kont.;[waːw, aloː! dama bëgːoːna xam sama tolːuwaːyu kont]
17;combien d'argent reste-t-il sur mon compte;BALANCE;Ñaata ci xaalis moo des ci sama kont ?;[ñaːta ci xaːlis moː des ci sama kont ?]
18;bonjour j'aimerais obtenir le solde de mon compte;BALANCE;Salaamaalekum dama bëggoona am tolluwaayu sama kont;[salaːmaːlekum dama bëgːoːna am tolːuwaːyu sama kont]
19;allo bonjour oui je vous appelle pour obtenir mon solde du compte courant merci;BALANCE;Aloo! Salaamaalekum, waaw damay woote ngir am tolluwaayu sama kont. Jarajëf.;[aloː! salaːmaːlekum, waːw damay woːte ngir am tolːuwaːyu sama kont. jarajëf]
20;connaitre solde du compte courant;BALANCE;Xam tolluwaayu kont. ;[xam tolːuwaːyu kont]
21;comment savoir combien il y a de sous sur le compte s'il vous plait;BALANCE;Naka lañuy xame ñaata ciy koppar moo nekkk ci kont bi ?;[naka lañuy xame ñaːta ciy kopːar moː nekː ci kont?]
22;Bonjour j'ai un compte chez vous et je voulais savoir si vous pouvez me montrer le solde sur mon compte courant merci;BALANCE;Salaamaaleekum, dama am ab kont ci yéen, te bêggoona xam ndax mên ngéen maa won tolluwaayam ciy koppar.;[salaːmaːlekum, dama am ab kont ci yeːn, te bëgːoːna xam ndax mën ngeːn maː won tolːuwaːyam ciy kopːar]
23;Bonjour j'aimerais savoir quels sont les restaurants sur mon compte l'argent qui est disponible pour mes futurs d'achat merci;BALANCE;Salaamaaleekum, dama  bêggoona  xam yan restoraa ñoo nekk ci sama kont, ak koppar yi ma ci mêna ame lu may bëgga jënd. Jarajêf. ;[salaːmaːlekum, dama bëgːoːna xam yan restoraː ñoː nekː ci sama kont, ak kopːar yi ma ci mëna ame lu my bëgːa jënd. jarajëf]
24;consulter le solde de mon compte;BALANCE;Seet tolluwaaayu sama kont.;[seːt tolːuwaːyu sama kont]
25;affiche le solde de mon compte courant;BALANCE;woneel tolluwaayu sama kont. ;[woneːl tolːuwaːyu sama kont]
26;solde de mon compte bancaire;BALANCE;Tolluwaayu sama kontu bànk ;[tolːuwaːyu sama kont bànk]
27;bonjour Est-ce que vous pouvez me montrer le solde de mon compte s'il vous plait;BALANCE;Salaamaalekum ngéen baal ma, ndax mën ngéen ma won tolluwaayu sama kont ?;[salaːmaːlekum ngeːn baːl ma, ndax mën ngeːn ma won tolːuwaːyu sama kont ?]
28;je voudrais savoir combien de solde sur mon compte courant;BALANCE;Dama bêggoona xam ñaata moo des ci sama kont.  ;[dama bëgːoːna xam ñaːta moː des ci sama kont]
29;quelle somme me reste-t-il sur mon compte en banque;BALANCE;Ñaata ci xaalis moo des ci sama kontu bànk ? ;[ñaːta ci xaːlis moː des ci sama kontu bànk ?]
30;Bonjour j'aimerais savoir combien j'ai d'argent sur mon compte;BALANCE;Salaamaalekum, dama bëggoona xam ñaata ci xaalis laa am ci sama kont ?;[salaːmaːlekum, dama bëgːoːna xam ñaːta ci xaːlis laː am ci sama kont ?]
31;Bonjour Je veux savoir comment je pourrais voir le solde de mon compte sur mon espace client;BALANCE;Salaamaalekum, dama bëggoona  xam naka laa mëna gisee li des ci sama kont ci sama wàllu bopp ?;[salaːmaːlekum, dama bëgːoːna xam naka laː mëna giseː li des ci sama kont ci sama wàlːu bopː ?]
32;montre-moi l'argent sur mon compte;BALANCE;Wonléen ma xaalis bi ci sama kont.;[wonleːn ma xaːlis bi ci sama kont]
33;montre-moi le solde de mon compte;BALANCE;Wonléen ma li des ci sama kont.;[wonleːn ma li des ci sama kont]
34;quel est le solde de mon compte;BALANCE;Lu des ci sama kont ?;[lu des ci sama kont ?]
35;pourriez-vous me renseigner sur le solde de mon compte;BALANCE;Ndax mën ngéen ma leeral ci sama tolluwaayu kont ?;[ndax mën ngeːn ma leːral ci sama tolːuwaːyu kont ?]
36;bonjour oui je vous appelle pour connaitre le solde de mon compte courant s'il vous plait merci;BALANCE;Salaamaalekum, waaw. Ngéen baal ma, maa leen woo ngir xam tolluwaayu sama kont.    Jarajëf.;[salaːmaːlekum, waːw. ngeːn baːl ma, maː leːn woː ngir xam tolːuwaːyu sama kont. jarajëf]
37;Bonjour je vous appelle car j'aimerais connaitre le solde de mon compte courant merci;BALANCE;Salaamaaleekum, dama woote ngir xam sama tolluwwayu kont. Jarajêf.;[salaːmaːlekum, dama woːte ngir xam sama tolːuwaːyu kont. jarajëf]
38;quel est le solde de mon compte;BALANCE;Lan mooy sama tolluwaayu kont ?;[lan moːy sama tolːuwaːyu kont ?]
39;je voudrais connaitre le solde de mon compte courant;BALANCE;Dama bëggoona xam tolluwaayu sama kont.  ;[dama bëgːoːna xam tolːuwaːu sama kont]
40;Bonjour j'aimerais bien savoir le solde de mon compte;BALANCE;Salaamaalekum, bëggoon naa xam tolluwaayu sama kont. ;[salaːmaːlekum, bëgːoːn naː xam tolːuwaːyu sama kont]
41;bonjour je vais déposer de l'argent sur mon compte comment est-ce que je peux faire s'il vous plait;CASH_DEPOSIT;Salaamaalekum damay dugal xaalis ci sama kont. Naka laa ko mêna defe ?;[salaːmaːlekum damay dugal xaːlis ci sama kont. Naka laː ko mëna defe?]
42;je souhaiterais déposer de l'argent sur mon compte bancaire;CASH_DEPOSIT;Dama bëgga dugal xaalis ci sama kontu bànk.;[dama bëgːa dugal xaːlis ci sama kontu bànk]
43;comment transférer de l'argent sur mon compte;CASH_DEPOSIT;Naka laay toxale xaalis ci sama kont ?;[naka laːy toxale xaːlis ci sama kont ?]
44;je voudrais déposer de l'argent sur mon compte;CASH_DEPOSIT;Dama bëggoona dugal xaalis ci sama kont.;[dama bëgːoːna dugal xaːlis ci sama kont]
45;je veux transférer de l'argent sur mon compte;CASH_DEPOSIT;Dama bëgga toxal xaalis ci sama kont.;[dama bëgːa toxal xaːlis ci sama kont]
46;Bonjour je vous contacte pour déposer de l'argent sur mon compte;CASH_DEPOSIT;Salaamaalekum, maa léen woo ngir dugal xaalis ci sama kont.;[salaːmaːlekum, maː leːn woː ngir dugal xaːlis ci sama kont]
47;Bonjour J'aimerais déposer de l'argent sur mon compte bancaire;CASH_DEPOSIT;Salaamaalekum, dama bëggoona dugal xaalis ci sama kontu bànk;[salaːmaːlekum, dama bëgːoːna dugal xaːlis ic sama kontu bànk]
48;comment faire pour déposer de l'argent;CASH_DEPOSIT;Naka laay def ngir dugal xaalis ?;[naka laːy def ngir dugal xaːlis ?]
49;Bonjour pourrais-je savoir comment je peux transférer de l'argent sur mon compte;CASH_DEPOSIT;Salaamaalekum. ndax mën naa xam naka laay toxale xaalis ci sama kont?;[salaːmaːlekum. ndax mën naː xam naka laːy toxale xaːlis ci sama kont ?]
50;où est-ce que je peux déposer de l'argent;CASH_DEPOSIT;Fan laa mëna dugale xaalis ?;[fan laː mëna dugale xaːlis ?]
51;je souhaiterais déposer de l'argent sur mon compte;CASH_DEPOSIT;Dama bëggoona dugal xaalis ci sama kont;[dama bëgːoːna dugal xaːlis ci sama kont]
52;comment puis-je déposer de l'argent sur mon compte ?;CASH_DEPOSIT;Naka laa mëna dugale xaalis ci sama kont ?;[naka laː mëna dugale xaːlis ci sama kont ?]
