N°;reponses_fr;reponse_intent;reponses_wo;reponses_transcription
1;Bienvenue à notre service client;WELCOME;Dalal jàmm ci sunu màkkaanu kilyaan bi.;[dalal jàmː ci sunu makːaːnu kilyaːn bi]
2;Je suis votre assistant virtuel;WHO_IS_IT;Man maay séen jàppalekat bi teewul..  …;[man maːy seːn japːalekat bi teːwul …]
3;Vous pouvez soit réserver une place, soit effectuer une transaction financière;POSSIBILITIES;Mën nga jàpp palaas walla nga def ab jëflante ci xaalis.;[mën nga japː palaːs walːa nga def ab jëflante ci xaːlis]
4;Je ne peux pas vous aider avec ça, je suis désolé;OUT_OF_SCOPE;Mënuma laa dimbali ci loolu, maangiy jéggalu.;[mënuma laː dimbali ci loːlu, maːingiy jeːgːalu]
5;Désolé, je ne peux pas traiter cette demande;OUT_OF_SCOPE;Maangiy jéggalu, mënumaa lijjanti laaj boobu.;[maːngiy jegːalu, mënumaː lijːanti laːj boːbu]
6;Le solde de votre compte est de;BALANCE;Say koppari kont angi tollu ci : ;[say kopːari kont angi tolːu ci :]
7;0;AMOUNT;Amul dara.;[amul dara]
8;1000;AMOUNT;Ñaari téemeer.;[ñaːri teːmeːr]
9;2000;AMOUNT;Ñeenti téemeer;[ñeːnti teːmeːr]
10;3000;AMOUNT;Juroom-benni téemeer.;[juroːm benːi teːmeːr]
11;4000;AMOUNT; Juroom-ñatti téemeer;[juruːm ñatːi teːmeːr]
12;5000;AMOUNT;Junni;[junːi]
13;6000;AMOUNT;Junni ak ñaari téemeer;[junːi ak ñaːri teːmeːr]
14;7000;AMOUNT;Junni ak ñeenti téemeer;[junːi ak ñeːti teːmeːr]
15;8000;AMOUNT;Junni ak juroom-benni téemeer;[junːi ak juroːm-benːi teːmeːr]
16;9000;AMOUNT;Junni ak juroom-ñatti téemeer;[junːi ak juroːm-ñatːi teːmeːr]
17;10000;AMOUNT;Ñaari junni;[ñaːri junːi]
18;20000;AMOUNT;Ñeenti junni;[ñeːnti junːi]
19;30000;AMOUNT;Juroom-benni junni;[juroːm-benːi junːi]
20;40000;AMOUNT;Juroom-ñatti junni;[juroːm-ñati junːi]
21;50000;AMOUNT;Fukki junni;[fukːi junːi]
22;60000;AMOUNT;Fukki junni ak ñaar;[fukːi junːi ak ñaːr]
23;70000;AMOUNT;Fukki junni an ñeent;[fukːi junːi ak ñeːnt]
24;80000;AMOUNT;Fukki junni ak juroom-benn;[fukːi junːi ak juroːm-benː]
25;90000;AMOUNT;Fukki junni ak juroom-ñatt;[fukːi junːi ak juroːm-ñatː]
26;100000;AMOUNT;Ñaar-fukki junni;[ñaːr-fukːi junːi]
27;Combien souhaitez-vous déposer ?;CASH_DEPOSIT;Ñaata nga bëggoona dugal ?;[ñaːta nga bëgːoːna dugal ?]
28;Le montant déposé est de;CASH_DEPOSIT;Xaalis bi ñu dugal mu ngi tollu ci;[xaːlis bi ñu dugal mu ngi tolːu ci]
29;Quel est le montant de votre dépôt ?;CASH_DEPOSIT;Li ngay dugal nu mu tollu ?;[li ngay dugal nu mu tolːu ?]
